"id","id_crm","id_idealista","estado","id_empresa","contact_id","link_idealista","scope","created_at","updated_at","ref"
139146,"5396278",30701337,inactive,5232,26975325,https://www.idealista.pt/imovel/30701337,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"917 AO"
139147,"5395879",30680869,active,5232,26975325,https://www.idealista.pt/imovel/30680869,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"904"
139148,"6016019",31125670,dropped_by_quality,5232,26975325,https://www.idealista.pt/imovel/31125670,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"985"
139149,"6023841",31298990,inactive,5232,26975325,https://www.idealista.pt/imovel/31298990,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"1032"
139150,"6026003",31372355,active,5232,26975325,https://www.idealista.pt/imovel/31372355,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"1047"
139151,"6024680",31331040,inactive,5232,26975325,https://www.idealista.pt/imovel/31331040,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"1037"
139152,"6026333",31378447,inactive,5232,26975325,https://www.idealista.pt/imovel/31378447,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"1061"
139153,"5397870",30746675,active,5232,26975325,https://www.idealista.pt/imovel/30746675,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"922"
139154,"5398054",30757979,inactive,5232,26975325,https://www.idealista.pt/imovel/30757979,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"927"
139155,"5388120",30449201,inactive,5232,26975325,https://www.idealista.pt/imovel/30449201,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"788"
139156,"6030587",31497516,inactive,5232,26975325,https://www.idealista.pt/imovel/31497516,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"1108"
139157,"6047738",31975221,dropped_by_quality,5232,26975325,https://www.idealista.pt/imovel/31975221,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"1266"
139158,"6046765",31947017,inactive,5232,26975325,https://www.idealista.pt/imovel/31947017,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"1260"
139159,"6039250",31731846,active,5232,26975325,https://www.idealista.pt/imovel/31731846,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,JF003
139160,"6038881",31720441,inactive,5232,26975325,https://www.idealista.pt/imovel/31720441,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"1215"
139161,"6050179",32049173,inactive,5232,26975325,https://www.idealista.pt/imovel/32049173,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"1308"
139162,"5137462",28250939,inactive,5232,26975325,https://www.idealista.pt/imovel/28250939,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,A308
139163,"5178179",28388173,inactive,5232,26975325,https://www.idealista.pt/imovel/28388173,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,V- Ar373
139164,"5064729",28033299,inactive,5232,26975325,https://www.idealista.pt/imovel/28033299,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"237"
139165,"5184442",28414547,inactive,5232,26975325,https://www.idealista.pt/imovel/28414547,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"633"
